36d8bb6e63074d1269045bed34e03ae2bdb3348b	2025-12-19	Christopher David	Add autopilot logs and update Cargo.lock
50446e6d51c70525df57af895dcf75429cf18baf	2025-12-19	Christopher David	Add BlackBox atoms and storybook page (#1518)
62c8b89a122c9c57afd2bb38586e43c9ec84d3aa	2025-12-19	Christopher David	Add /autopilot route and /events endpoint to desktop app (#18)
7e848adcd05752d6b3e7005e6438ba2130c3ac81	2025-12-19	Christopher David	Add storybook crate with button component (#1516)
89076fe9797a36125a28b54b47dfdb701d695ed2	2025-12-19	Christopher David	Logs/docs
89e4dc17272e3566e01a765ca991b06849d09b5a	2025-12-19	Christopher David	interrupted log
9d0b4146d9c53bbcf68671c9675edc71319637c5	2025-12-19	Christopher David	Add issue_counter sync trigger and AGENTS.md database rule
daa3727d6887ca87065561af1c62e396295b5693	2025-12-19	Christopher David	Add Tailwind UI system with semantic color tokens (#1517)
e9703ca00df8aed17b2d59064f52ad864ea0d44f	2025-12-19	Christopher David	Create recorder component renderer for SDK messages
0153828275e8b743fe9f4e9e88958eeec6041946	2025-12-20	Christopher David	Add memory checker to prevent crashes in full-auto mode
0f148f97817435f276727a4b835d0ba55e9b302a	2025-12-20	Christopher David	Create agentgit crate with wry/tao desktop window foundation
157d3c9c888fb1f5c90044c819e104c7f39a80e5	2025-12-20	Christopher David	Add comprehensive Examples section to workspace README
401e4ca7746885e781e9e4c436ba6c6b94b1ee2b	2025-12-20	Christopher David	Add rlog replay mode to desktop app
71cdc4c9d071d7a28c79b0588671832ad8bcaa4c	2025-12-20	Christopher David	Add comprehensive README for ui crate
81a955fc54c8c8a7c18360464e583b7405d0448d	2025-12-20	Christopher David	Add comprehensive README for desktop crate
961948bbac654b1c1933da700781bbc641dddce6	2025-12-20	Christopher David	Add directives system for high-level project goals
9c507748a548c85fdb011390b51144b650dc6a2a	2025-12-20	Christopher David	logs and bump them numbers up
9f57da901393eb3902bd59cde613f03ea69854aa	2025-12-20	Christopher David	Use query() with continue_session for full-auto loop
c81433b911927009b62312e6b7e46f36339bf630	2025-12-20	Christopher David	Add memory hog detection and process killer
f336ee5e7923373d81c6e5d4788a6f7d5da84426	2025-12-20	Christopher David	Add directive d-005: Build Nostr GitHub Alternative (AgentGit)
f49e33fb4aef58fc99c8dac63b13ea3f481a8f2e	2025-12-20	Christopher David	Add comprehensive README for storybook crate
0a432dc477e8c6d58ca310095d85cfe71e4e79b1	2025-12-21	Christopher David	Create autopilot-gui crate with wry/tao window and Actix server
0cc5b5d98cc4eaca4f383a7a603aeca62ebf8d79	2025-12-21	Christopher David	Add base_document story to storybook atoms
1a5e9e18eb1ede866e1057a566a4aa4872133fab	2025-12-21	Christopher David	Create marketplace crate with basic structure for d-008
1dc0e2c884f420ba9022e5e63bf5c1877cb5f58f	2025-12-21	Christopher David	Add WebSocket support for live dashboard updates in autopilot-gui
240ceea4e0f0622afc4ca4dbd920085242487546	2025-12-21	Christopher David	Create comprehensive README for autopilot-gui
29b37f0bf4fe69f053fce72c6545827d9a2e9f45	2025-12-21	Christopher David	Unify all binaries into single openagents binary
3026d39cf5e5cadcf60797f0f6c1e448c4c7a788	2025-12-21	Christopher David	Add comprehensive documentation for AgentGit
33a898d57a777b85d0d5e9b550a8ef6a6bc3c32c	2025-12-21	Christopher David	Add comprehensive error handling to AgentGit event publishing
3aa595c6d13b58f7719024597fb74c5444fa55fe	2025-12-21	Christopher David	Add ClaudeStatus component showing auth status
43de989bd7076d8950a0f697f050fe11f87be59a	2025-12-21	Christopher David	Add d-008: Unified Data/Compute/Skills Marketplace
5cb4af90022b39a37462b1023412a294dd64e610	2025-12-21	Christopher David	Implement WebSocket streaming for autopilot-gui chat interface
6b84c126fcbc7ee824b343c90f7a4e8b9903d305	2025-12-21	Christopher David	Add FullAutoSwitch component and simplify GUI to black screen
6e346a39255016430faa11f8923d285f5a88b98d	2025-12-21	Christopher David	Add context inspector view to autopilot-gui
7165a72c06f6ab4caa7f1f8d4a3823dade32222e	2025-12-21	Christopher David	directive: Add d-009 Autopilot GUI - Visual Agent Interface
9f4f9cd8dd7a929c265c678f4f20445c560dcdc5	2025-12-21	Christopher David	Implement wallet GUI with Maud/HTMX UI
bf5e2744511de4e30dae976d35343a63ce80948b	2025-12-21	Christopher David	Add tool execution display to autopilot-gui
c6a3d6c1ccc4ef28e52d61e6507bc38cba874667	2025-12-21	Christopher David	Implement autopilot metrics dashboard web UI
cc4a00ca3e059390baeb76373a79c8aec2af44a3	2025-12-21	Christopher David	Add dashboard modular structure foundation and migration plan
f9d37b43c0bac492feb2ffd137178ee15146b6db	2025-12-21	Christopher David	Add permission management system to autopilot-gui
fd75520212ba0672b8f7f7fada3c5496373baec3	2025-12-21	Christopher David	Complete dashboard metrics visualization with real-time charts
05a4115123b5857223591980485cb5c2f2ccb9dc	2025-12-22	Christopher David	Connect Full Auto toggle to spawn autopilot process with output streaming
07822bce093929475d69a7de7244a6f95fcb64e1	2025-12-22	Christopher David	Optimize GitAfter PR diff rendering for large files
08b85f5c4a0e77b8e52eaebd87b27b675771e694	2025-12-22	Christopher David	Add rustdoc examples to key public APIs
174e5dc41a21888b1e81bd493de41352d039d038	2025-12-22	Christopher David	Complete NIP-87 (Ecash Mint Discoverability) implementation
1af043269a1b0c8caf33b5da3011fb1d012f2896	2025-12-22	Christopher David	Add NIP-77 ReconciliationState struct with range splitting algorithm
1cd55bdf5649be11e96e30b9e3c2f0ffc585968f	2025-12-22	Christopher David	Add rustdoc examples to UI crate component types
25bb69d1e832c0d07e877c233665c54d4d733550	2025-12-22	Christopher David	Add push button to AgentGit git status page
